sample_key,audio_path,video_path,textgrid_path,audio_duration_hms,video_duration_hms,textgrid_duration_hms,audio_error,video_error,textgrid_error,audio_duration_seconds,video_duration_seconds,textgrid_duration_seconds
sub068_northwind1_alignment,,,sub068\alignments\northwind1\sub068_northwind1_alignment.textgrid,,,00:00:20.300,,,,,,20.3
sub068_northwind2,sub068\audios\northwind2\sub068_northwind2_audio.wav,sub068\videos\northwind2\sub068_northwind2_video.mp4,,00:00:26.350,00:00:26.378,,,,,26.35,26.378005,
sub068_northwind2_alignment,,,sub068\alignments\northwind2\sub068_northwind2_alignment.textgrid,,,00:00:26.350,,,,,,26.35
sub068_picture2,sub068\audios\picture2\sub068_picture2_audio.wav,sub068\videos\picture2\sub068_picture2_video.mp4,,00:00:32.250,00:00:32.333,,,,,32.25,32.333333,
sub068_picture2_alignment,,,sub068\alignments\picture2\sub068_picture2_alignment.textgrid,,,00:00:32.250,,,,,,32.25
sub068_rainbow,sub068\audios\rainbow\sub068_rainbow_audio.wav,sub068\videos\rainbow\sub068_rainbow_video.mp4,,00:00:37.700,00:00:37.733,,,,,37.7,37.733008,
sub068_rainbow_alignment,,,sub068\alignments\rainbow\sub068_rainbow_alignment.textgrid,,,00:00:37.700,,,,,,37.7
sub068_shibboleth,sub068\audios\shibboleth\sub068_shibboleth_audio.wav,sub068\videos\shibboleth\sub068_shibboleth_video.mp4,,00:00:29.750,00:00:29.800,,,,,29.75,29.8,
sub068_shibboleth_alignment,,,sub068\alignments\shibboleth\sub068_shibboleth_alignment.textgrid,,,00:00:29.750,,,,,,29.75
sub068_topic2,sub068\audios\topic2\sub068_topic2_audio.wav,sub068\videos\topic2\sub068_topic2_video.mp4,,00:00:33.650,00:00:33.669,,,,,33.65,33.66898,
sub068_topic2_alignment,,,sub068\alignments\topic2\sub068_topic2_alignment.textgrid,,,00:00:33.650,,,,,,33.65
sub068_vcv3,sub068\audios\vcv3\sub068_vcv3_audio.wav,sub068\videos\vcv3\sub068_vcv3_video.mp4,,00:00:36.000,00:00:36.067,,,,,36.0,36.066667,
sub068_vcv3_alignment,,,sub068\alignments\vcv3\sub068_vcv3_alignment.textgrid,,,00:00:36.000,,,,,,36.0
sub070_bvt,sub070\audios\bvt\sub070_bvt_audio.wav,sub070\videos\bvt\sub070_bvt_video.mp4,,00:00:27.525,00:00:27.539,,,,,27.525188,27.539002,
sub070_bvt_alignment,,,sub070\alignments\bvt\sub070_bvt_alignment.textgrid,,,00:00:27.525,,,,,,27.52515
sub070_grandfather1,sub070\audios\grandfather1\sub070_grandfather1_audio.wav,sub070\videos\grandfather1\sub070_grandfather1_video.mp4,,00:00:42.435,00:00:42.446,,,,,42.434625,42.445986,
sub070_grandfather1_alignment,,,sub070\alignments\grandfather1\sub070_grandfather1_alignment.textgrid,,,00:00:42.435,,,,,,42.4346
sub070_northwind1,sub070\audios\northwind1\sub070_northwind1_audio.wav,sub070\videos\northwind1\sub070_northwind1_video.mp4,,00:00:36.209,00:00:36.223,,,,,36.208688,36.222993,
sub070_northwind1_alignment,,,sub070\alignments\northwind1\sub070_northwind1_alignment.textgrid,,,00:00:36.209,,,,,,36.20865
sub070_picture2,sub070\audios\picture2\sub070_picture2_audio.wav,sub070\videos\picture2\sub070_picture2_video.mp4,,00:00:32.932,00:00:32.972,,,,,32.931875,32.972018,
sub070_picture2_alignment,,,sub070\alignments\picture2\sub070_picture2_alignment.textgrid,,,00:00:32.932,,,,,,32.93185
sub070_rainbow,sub070\audios\rainbow\sub070_rainbow_audio.wav,sub070\videos\rainbow\sub070_rainbow_video.mp4,,00:00:29.983,00:00:30.000,,,,,29.98275,30.0,
sub070_rainbow_alignment,,,sub070\alignments\rainbow\sub070_rainbow_alignment.textgrid,,,00:00:29.983,,,,,,29.98275
sub070_shibboleth,sub070\audios\shibboleth\sub070_shibboleth_audio.wav,sub070\videos\shibboleth\sub070_shibboleth_video.mp4,,00:00:22.118,00:00:22.152,,,,,22.118437,22.152018,
sub070_shibboleth_alignment,,,sub070\alignments\shibboleth\sub070_shibboleth_alignment.textgrid,,,00:00:22.118,,,,,,22.1184
sub070_topic2,sub070\audios\topic2\sub070_topic2_audio.wav,sub070\videos\topic2\sub070_topic2_video.mp4,,00:00:33.014,00:00:33.019,,,,,33.013813,33.019002,
sub070_topic2_alignment,,,sub070\alignments\topic2\sub070_topic2_alignment.textgrid,,,00:00:33.014,,,,,,33.0138
sub070_vcv3,sub070\audios\vcv3\sub070_vcv3_audio.wav,sub070\videos\vcv3\sub070_vcv3_video.mp4,,00:00:31.949,00:00:31.951,,,,,31.948812,31.95102,
sub070_vcv3_alignment,,,sub070\alignments\vcv3\sub070_vcv3_alignment.textgrid,,,00:00:31.949,,,,,,31.9488
sub071_bvt,sub071\audios\bvt\sub071_bvt_audio.wav,sub071\videos\bvt\sub071_bvt_video.mp4,,00:00:30.065,00:00:30.093,,,,,30.064688,30.093016,
sub071_bvt_alignment,,,sub071\alignments\bvt\sub071_bvt_alignment.textgrid,,,00:00:30.065,,,,,,30.06465
sub071_grandfather1,sub071\audios\grandfather1\sub071_grandfather1_audio.wav,sub071\videos\grandfather1\sub071_grandfather1_video.mp4,,00:00:55.378,00:00:55.403,,,,,55.378,55.402993,
sub071_grandfather1_alignment,,,sub071\alignments\grandfather1\sub071_grandfather1_alignment.textgrid,,,00:00:55.378,,,,,,55.37795
sub071_northwind1,sub071\audios\northwind1\sub071_northwind1_audio.wav,sub071\videos\northwind1\sub071_northwind1_video.mp4,,00:00:42.189,00:00:42.214,,,,,42.188812,42.214014,
sub071_northwind1_alignment,,,sub071\alignments\northwind1\sub071_northwind1_alignment.textgrid,,,00:00:42.189,,,,,,42.1888
sub071_picture2,sub071\audios\picture2\sub071_picture2_audio.wav,sub071\videos\picture2\sub071_picture2_video.mp4,,00:00:33.505,00:00:33.530,,,,,33.505313,33.530023,
sub071_picture2_alignment,,,sub071\alignments\picture2\sub071_picture2_alignment.textgrid,,,00:00:33.505,,,,,,33.5053
sub071_rainbow,sub071\audios\rainbow\sub071_rainbow_audio.wav,sub071\videos\rainbow\sub071_rainbow_video.mp4,,00:00:42.762,00:00:42.771,,,,,42.76225,42.77102,
sub071_rainbow_alignment,,,sub071\alignments\rainbow\sub071_rainbow_alignment.textgrid,,,00:00:42.762,,,,,,42.76225
sub071_shibboleth,sub071\audios\shibboleth\sub071_shibboleth_audio.wav,sub071\videos\shibboleth\sub071_shibboleth_video.mp4,,00:00:26.952,00:00:26.982,,,,,26.95175,26.981995,
sub071_shibboleth_alignment,,,sub071\alignments\shibboleth\sub071_shibboleth_alignment.textgrid,,,00:00:26.952,,,,,,26.9517
sub071_topic2,sub071\audios\topic2\sub071_topic2_audio.wav,sub071\videos\topic2\sub071_topic2_video.mp4,,00:00:33.014,00:00:33.019,,,,,33.013813,33.019002,
sub071_topic2_alignment,,,sub071\alignments\topic2\sub071_topic2_alignment.textgrid,,,00:00:33.014,,,,,,33.0138
sub071_vcv3,sub071\audios\vcv3\sub071_vcv3_audio.wav,sub071\videos\vcv3\sub071_vcv3_video.mp4,,00:00:33.260,00:00:33.297,,,,,33.259563,33.297007,
sub071_vcv3_alignment,,,sub071\alignments\vcv3\sub071_vcv3_alignment.textgrid,,,00:00:33.260,,,,,,33.25955
sub072_bvt,sub072\audios\bvt\sub072_bvt_audio.wav,sub072\videos\bvt\sub072_bvt_video.mp4,,00:00:31.949,00:00:31.951,,,,,31.948812,31.95102,
sub072_bvt_alignment,,,sub072\alignments\bvt\sub072_bvt_alignment.textgrid,,,00:00:31.949,,,,,,31.9488
sub072_grandfather1,sub072\audios\grandfather1\sub072_grandfather1_audio.wav,sub072\videos\grandfather1\sub072_grandfather1_video.mp4,,00:01:19.380,00:01:19.412,,,,,79.3805,79.412018,
sub072_grandfather1_alignment,,,sub072\alignments\grandfather1\sub072_grandfather1_alignment.textgrid,,,00:01:19.380,,,,,,79.3805
sub072_northwind1,sub072\audios\northwind1\sub072_northwind1_audio.wav,sub072\videos\northwind1\sub072_northwind1_video.mp4,,00:01:08.403,00:01:08.406,,,,,68.40325,68.405986,
sub072_northwind1_alignment,,,sub072\alignments\northwind1\sub072_northwind1_alignment.textgrid,,,00:01:08.403,,,,,,68.4032
sub072_picture2,sub072\audios\picture2\sub072_picture2_audio.wav,sub072\videos\picture2\sub072_picture2_video.mp4,,00:00:33.096,00:00:33.112,,,,,33.09575,33.112018,
sub072_picture2_alignment,,,sub072\alignments\picture2\sub072_picture2_alignment.textgrid,,,00:00:33.096,,,,,,33.0957
sub072_rainbow,sub072\audios\rainbow\sub072_rainbow_audio.wav,sub072\videos\rainbow\sub072_rainbow_video.mp4,,00:00:53.903,00:00:53.917,,,,,53.903438,53.917007,
sub072_rainbow_alignment,,,sub072\alignments\rainbow\sub072_rainbow_alignment.textgrid,,,00:00:53.903,,,,,,53.9034
sub072_shibboleth,sub072\audios\shibboleth\sub072_shibboleth_audio.wav,sub072\videos\shibboleth\sub072_shibboleth_video.mp4,,00:00:37.929,00:00:37.941,,,,,37.929,37.940998,
sub072_shibboleth_alignment,,,sub072\alignments\shibboleth\sub072_shibboleth_alignment.textgrid,,,00:00:37.929,,,,,,37.929
sub072_topic2,sub072\audios\topic2\sub072_topic2_audio.wav,sub072\videos\topic2\sub072_topic2_video.mp4,,00:00:33.505,00:00:33.530,,,,,33.505313,33.530023,
sub072_topic2_alignment,,,sub072\alignments\topic2\sub072_topic2_alignment.textgrid,,,00:00:33.505,,,,,,33.5053
sub074_bvt,sub074\audios\bvt\sub074_bvt_audio.wav,sub074\videos\bvt\sub074_bvt_video.mp4,,00:00:32.031,00:00:31.579,,,,,32.03075,31.579002,
sub074_bvt_alignment,,,sub074\alignments\bvt\sub074_bvt_alignment.textgrid,,,00:00:32.031,,,,,,32.03075
sub074_grandfather1,sub074\audios\grandfather1\sub074_grandfather1_audio.wav,sub074\videos\grandfather1\sub074_grandfather1_video.mp4,,00:00:36.536,00:00:36.084,,,,,36.536375,36.083991,
sub074_grandfather1_alignment,,,sub074\alignments\grandfather1\sub074_grandfather1_alignment.textgrid,,,00:00:36.536,,,,,,36.53635
sub074_grandfather2,sub074\audios\grandfather2\sub074_grandfather2_audio.wav,sub074\videos\grandfather2\sub074_grandfather2_video.mp4,,00:00:36.782,00:00:36.270,,,,,36.782125,36.270023,
sub074_grandfather2_alignment,,,sub074\alignments\grandfather2\sub074_grandfather2_alignment.textgrid,,,00:00:36.782,,,,,,36.7821
sub074_northwind1,sub074\audios\northwind1\sub074_northwind1_audio.wav,sub074\videos\northwind1\sub074_northwind1_video.mp4,,00:00:26.952,00:00:25.542,,,,,26.95175,25.541995,
sub074_northwind1_alignment,,,sub074\alignments\northwind1\sub074_northwind1_alignment.textgrid,,,00:00:26.952,,,,,,26.9517
sub074_northwind2,sub074\audios\northwind2\sub074_northwind2_audio.wav,sub074\videos\northwind2\sub074_northwind2_video.mp4,,00:00:29.819,00:00:29.396,,,,,29.818938,29.396009,
sub074_northwind2_alignment,,,sub074\alignments\northwind2\sub074_northwind2_alignment.textgrid,,,00:00:29.819,,,,,,29.8189
sub074_picture2,sub074\audios\picture2\sub074_picture2_audio.wav,sub074\videos\picture2\sub074_picture2_video.mp4,,00:00:34.488,00:00:34.040,,,,,34.488375,34.04,
sub074_picture2_alignment,,,sub074\alignments\picture2\sub074_picture2_alignment.textgrid,,,00:00:34.488,,,,,,34.48835
sub074_rainbow,sub074\audios\rainbow\sub074_rainbow_audio.wav,sub074\videos\rainbow\sub074_rainbow_video.mp4,,00:00:49.807,00:00:49.366,,,,,49.807437,49.365986,
sub074_rainbow_alignment,,,sub074\alignments\rainbow\sub074_rainbow_alignment.textgrid,,,00:00:49.807,,,,,,49.8074
sub074_shibboleth,sub074\audios\shibboleth\sub074_shibboleth_audio.wav,sub074\videos\shibboleth\sub074_shibboleth_video.mp4,,00:00:33.833,00:00:33.297,,,,,33.833,33.297007,
sub074_shibboleth_alignment,,,sub074\alignments\shibboleth\sub074_shibboleth_alignment.textgrid,,,00:00:33.833,,,,,,33.833
sub074_topic2,sub074\audios\topic2\sub074_topic2_audio.wav,sub074\videos\topic2\sub074_topic2_video.mp4,,00:00:35.390,00:00:34.923,,,,,35.3895,34.922993,
sub074_topic2_alignment,,,sub074\alignments\topic2\sub074_topic2_alignment.textgrid,,,00:00:35.389,,,,,,35.38945
sub074_vcv3,sub074\audios\vcv3\sub074_vcv3_audio.wav,sub074\videos\vcv3\sub074_vcv3_video.mp4,,00:00:31.212,00:00:30.743,,,,,31.211562,30.742993,
sub074_vcv3_alignment,,,sub074\alignments\vcv3\sub074_vcv3_alignment.textgrid,,,00:00:31.212,,,,,,31.21155
